,Symbol,Name,Exchange,Quarter,Revenue($mm),EBIT($mm),Debt($mm),Dividend Payout($mm),Operating Margin (%),Leverage (Debt/EBIT),Payout (% of EBIT)
33,GPRE,Green Plains Renewable Energy,NASDAQ,2019-03-31,438.64,-18.67,301.03,-10.33,-4.26,-4.03,-55.33
34,OPTT,Ocean Power Tech,NASDAQ,2019-04-30,0.19,-2.47,,,-1300.0,,
35,ORA,Ormat Tech,NYSE,2019-03-31,199.04,63.39,1111.7,-5.58,31.85,4.38,8.8
36,REGI,Renewable Energy Group,NASDAQ,2019-03-31,478.21,-28.5,31.5,,-5.96,-0.28,
37,SEDG,SolarEdge Tech,NASDAQ,2019-03-31,271.87,33.89,7.03,,12.47,0.05,
38,SPWR,SunPower Corp,NASDAQ,2019-03-31,348.22,-59.47,890.42,,-17.08,-3.74,
39,RUN,Sunrun,NASDAQ,2019-03-31,194.5,-5.27,1797.28,,-2.71,-85.26,
40,TERP,Terraform Power,NASDAQ,2019-03-31,225.33,153.05,5277.98,-41.99,67.92,8.62,27.44
41,VSLR,Vivint Solar,NASDAQ,2019-03-31,69.37,-24.96,1123.89,-9.01,-35.98,-11.26,-36.1
0,APA,Apache Corp,S&P500,2019-03-31,1654.0,910.0,8056.0,-94.0,55.02,2.21,10.33
1,BKR,Baker Hughes,S&P500,2019-03-31,5615.0,547.0,6270.0,-93.0,9.74,2.87,17.0
2,COG,Cabot Oil & Gas Corp,S&P500,2019-03-31,641.68,445.07,1219.34,-29.6,69.36,0.68,6.65
3,COP,Conocophillips,S&P500,2019-03-31,9131.0,4466.0,14153.0,-350.0,48.91,0.79,7.84
4,CVX,Chevron Corp,S&P500,2019-03-31,34427.0,8276.0,25805.0,-2244.0,24.04,0.78,27.11
5,CXO,Concho Resources Inc,S&P500,2019-03-31,1104.0,-377.0,4567.0,-25.0,-34.15,-3.03,-6.63
6,DVN,Devon Energy,S&P500,2018-12-31,2096.0,1574.0,5785.0,-37.0,75.1,0.92,2.35
7,EOG,EOG Resources,S&P500,2018-12-31,3283.97,1092.26,5111.98,-126.97,33.26,1.17,11.62
8,FANG,Diamondback Energy,S&P500,2018-12-31,628.61,472.42,4464.34,130.77,75.15,2.36,-27.68
9,FTI,Technipfmc Plc,S&P500,2019-03-31,2913.0,241.9,3725.0,-116.6,8.3,3.85,48.2
10,HAL,Halliburton Company,S&P500,2019-03-31,5737.0,842.0,10307.0,-157.0,14.68,3.06,18.65
11,HES,Hess Corp,S&P500,2019-03-31,1572.0,765.0,6550.0,-88.0,48.66,2.14,11.5
12,HFC,Hollyfrontier Corp,S&P500,2018-12-31,4344.2,323.18,2411.54,57.62,7.44,1.87,-17.83
13,KMI,Kinder Morgan,S&P500,2019-03-31,3429.0,1792.0,33328.0,-455.0,52.26,4.65,25.39
14,MPC,Marathon Petroleum Corp,S&P500,2018-12-31,32413.0,1916.0,26980.0,282.0,5.91,3.52,-14.72
15,MRO,Marathon Oil Corp,S&P500,2018-12-31,1765.0,467.0,5499.0,-41.0,26.46,2.94,8.78
16,NBL,Noble Energy Inc,S&P500,2018-12-31,1197.0,-654.0,6392.0,-15.0,-54.64,-2.44,-2.29
17,NOV,National-Oilwell,S&P500,2019-03-31,1940.0,117.0,2483.0,-19.0,6.03,5.31,16.24
18,OKE,Oneok Inc,S&P500,2019-03-31,2779.96,644.72,10004.34,-354.2,23.19,3.88,54.94
19,OXY,Occidental Petroleum ,S&P500,2018-12-31,4762.0,677.0,10201.0,-594.0,14.22,3.77,87.74
20,PSX,Phillips 66,S&P500,2019-03-31,23280.0,790.0,11102.0,-364.0,3.39,3.51,46.08
21,PXD,Pioneer Natural Resources Co,S&P500,2018-12-31,2678.0,440.0,2284.0,-28.0,16.43,1.3,6.36
22,SLB,Schlumberger N.V.,S&P500,2019-03-31,7879.0,1559.0,16449.0,-692.0,19.79,2.64,44.39
23,VLO,Valero Energy Corp,S&P500,2019-03-31,24263.0,881.0,9006.0,-375.0,3.63,2.56,42.57
24,WMB,Williams Companies,S&P500,2018-12-31,2204.0,484.0,22367.0,-412.0,21.96,11.55,85.12
25,XOM,Exxon Mobil Corp,S&P500,2019-03-31,61646.0,9041.0,17730.0,-3505.0,14.67,0.49,38.77
